Journal Name,SCIE,Impact Factor,Quartile,Alias,ISSN,EISSN,JIF5Years,Category
Iranian Journal of Mathematical Chemistry,SCIE,1.0,,IRAN J MATH CHEM,2228-6489,2008-9015,0.7,"CHEMISTRY, MULTIDISCIPLINARY|Q4|174/230"
JOURNAL OF CHEMICAL RESEARCH,SCIE,1.0,,J CHEM RES,1747-5198,2047-6507,1.1,"CHEMISTRY, MULTIDISCIPLINARY|Q4|174/230"
Journal of Environmental Engineering and Landscape Management,SCIE,1.0,,J ENVIRON ENG LANDSC,1648-6897,1822-4199,1.2,ENVIRONMENTAL SCIENCES|Q4|322/358
Journal of the International Council for Small Business,SCIE,1.0,,J INT COUNC SMALL BU,2643-7015,2643-7023,N/A,MANAGEMENT|Q4|326/401
Journal of Usability Studies,SCIE,1.0,,J USABILITY STUD,1931-3357,1931-3357,2.2,"COMPUTER SCIENCE, CYBERNETICS|Q3|24/32"
Plant Root,SCIE,1.0,,PLANT ROOT,1881-6754,1881-6754,0.8,PLANT SCIENCES|Q3|194/265
POLYMER SCIENCE SERIES A,SCIE,1.0,,POLYM SCI SER A+,0965-545X,1555-6107,1.0,POLYMER SCIENCE|Q4|86/94
REVESCO-Revista de Estudios Cooperativos,SCIE,1.0,,REVESCO-REV ESTUD CO,1885-8031,1135-6618,0.9,ECONOMICS|Q3|384/597
Revue Roumaine des Sciences Techniques-Serie Electrotechnique et Energetique,SCIE,1.0,,REV ROUM SCI TECH-EL,0035-4066,N/A,0.7,"ENGINEERING, ELECTRICAL & ELECTRONIC|Q4|285/352"
Acta Reumatologica Portuguesa,SCIE,1.0,,ACTA REUMATOL PORT,0303-464X,0303-464X,1.3,RHEUMATOLOGY|Q4|49/57
E-Balonmano com,SCIE,1.0,,E-BALONMANO COM,1885-7019,1885-7019,0.8,"HOSPITALITY, LEISURE, SPORT & TOURISM|Q3|100/139"
ENVIRONMENTAL & ENGINEERING GEOSCIENCE,SCIE,1.0,,ENVIRON ENG GEOSCI,1078-7275,1558-9161,0.8,"GEOSCIENCES, MULTIDISCIPLINARY|Q4|196/253"
Gradevinar,SCIE,1.0,,GRADEVINAR,0350-2465,1333-9095,1.1,"ENGINEERING, CIVIL|Q4|141/181"
International Journal of Global Warming,SCIE,1.0,,INT J GLOBAL WARM,1758-2083,1758-2091,1.0,ENVIRONMENTAL SCIENCES|Q4|322/358
SAE International Journal of Fuels and Lubricants,SCIE,1.0,,SAE INT J FUELS LUBR,1946-3952,1946-3960,1.1,TRANSPORTATION SCIENCE & TECHNOLOGY|Q4|57/72
Chemical Industry & Chemical Engineering Quarterly,SCIE,1.0,,CHEM IND CHEM ENG Q,1451-9372,2217-7434,1.0,"ENGINEERING, CHEMICAL|Q4|132/170"
Current Breast Cancer Reports,SCIE,1.0,,CURR BREAST CANCER R,1943-4588,1943-4596,1.1,ONCOLOGY|Q4|287/322
International Journal on Artificial Intelligence Tools,SCIE,1.0,,INT J ARTIF INTELL T,0218-2130,1793-6349,1.1,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS|Q4|143/169"
Investigaciones Turisticas,SCIE,1.0,,INVESTIG TUR,2174-5609,2174-5609,1.0,"HOSPITALITY, LEISURE, SPORT & TOURISM|Q3|100/139"
Journal of Electrical Engineering-Elektrotechnicky Casopis,SCIE,1.0,,J ELECTR ENG-SLOVAK,1335-3632,1339-309X,0.9,"ENGINEERING, ELECTRICAL & ELECTRONIC|Q4|285/352"
Journal of Research in Applied Linguistics,SCIE,1.0,,J RES APPL LINGUIST,2345-3303,2588-3887,0.3,LINGUISTICS|Q2|129/297
Chemistry & Chemical Technology,SCIE,1.0,,CHEM CHEM TECHOL,1996-4196,1996-4196,1.0,"CHEMISTRY, MULTIDISCIPLINARY|Q4|174/230"
Egyptian Journal of Internal Medicine,SCIE,1.0,,EGYPT J INTERN MED,1110-7782,2090-9098,N/A,"MEDICINE, GENERAL & INTERNAL|Q3|168/325"
Estudios Fronterizos,SCIE,1.0,,ESTUD FRONT,0187-6961,2395-9134,0.8,GEOGRAPHY|Q3|98/171
Indonesian Journal of Chemistry,SCIE,1.0,,INDONES J CHEM,1411-9420,1411-9420,1.1,"CHEMISTRY, MULTIDISCIPLINARY|Q4|174/230"
International Journal of Surface Science and Engineering,SCIE,1.0,,INT J SURF SCI ENG,1749-785X,1749-7868,0.9,"PHYSICS, APPLIED|Q4|157/179"
Journal of Micro and Nano-Manufacturing,SCIE,1.0,,J MICRO NANO-MANUF,2166-0468,2166-0476,1.3,"ENGINEERING, MANUFACTURING|Q4|62/68"
JOURNAL OF THE SERBIAN CHEMICAL SOCIETY,SCIE,1.0,,J SERB CHEM SOC,0352-5139,0352-5139,0.9,"CHEMISTRY, MULTIDISCIPLINARY|Q4|174/230"
NANO,SCIE,1.0,,NANO,1793-2920,1793-7094,1.1,"PHYSICS, APPLIED|Q4|157/179"
Rehabilitation Oncology,SCIE,1.0,,REHABIL ONCOL,2168-3808,2381-2427,1.0,ONCOLOGY|Q4|287/322
AUSTRALIAN JOURNAL OF CHEMISTRY,SCIE,1.0,,AUST J CHEM,0004-9425,1445-0038,0.9,"CHEMISTRY, MULTIDISCIPLINARY|Q4|174/230"
Civil Engineering Infrastructures Journal-CEIJ,SCIE,1.0,,CIV ENG INFRASTRUCT,2322-2093,2423-6691,0.8,"ENGINEERING, CIVIL|Q4|141/181"
Cuadernos de Turismo,SCIE,1.0,,CUAD TUR,1139-7861,1989-4635,0.9,"HOSPITALITY, LEISURE, SPORT & TOURISM|Q3|100/139"
Expert Review of Precision Medicine and Drug Development,SCIE,1.0,,EXPERT REV PRECIS ME,2380-8993,2380-8993,1.3,PHARMACOLOGY & PHARMACY|Q4|301/354
GE Portuguese Journal of Gastroenterology,SCIE,1.0,,GE PORT J GASTROENT,2341-4545,2387-1954,1.0,GASTROENTEROLOGY & HEPATOLOGY|Q4|123/143
Global NEST Journal,SCIE,1.0,,GLOBAL NEST J,1790-7632,N/A,1.1,ENVIRONMENTAL SCIENCES|Q4|322/358
HIGH TEMPERATURE,SCIE,1.0,,HIGH TEMP+,0018-151X,1608-3156,0.9,"PHYSICS, APPLIED|Q4|157/179"
Journal of Applied Engineering Sciences,SCIE,1.0,,J APPL ENG SCI,2247-3769,2284-7197,1.0,"ENGINEERING, CIVIL|Q4|141/181"
Journal of Outdoor Recreation Education and Leadership,SCIE,1.0,,J OUTDOOR RECREAT ED,2381-0696,1948-5123,1.0,"HOSPITALITY, LEISURE, SPORT & TOURISM|Q3|100/139"
Macroheterocycles,SCIE,1.0,,MACROHETEROCYCLES,1998-9539,1998-9539,1.1,"CHEMISTRY, MULTIDISCIPLINARY|Q4|174/230"
PROCESS SAFETY PROGRESS,SCIE,1.0,,PROCESS SAF PROG,1066-8527,1547-5913,1.1,"ENGINEERING, CHEMICAL|Q4|132/170"
Chemical Product and Process Modeling,SCIE,1.0,,CHEM PROD PROCESS MO,1934-2659,2194-6159,0.9,"ENGINEERING, CHEMICAL|Q4|132/170"
Geodynamics,SCIE,1.0,,GEODYNAMICS,1992-142X,2519-2663,0.8,GEOCHEMISTRY & GEOPHYSICS|Q3|70/101
International Journal of Innovation and Learning,SCIE,1.0,,INT J INNOV LEARN,1471-8197,1741-8089,0.7,MANAGEMENT|Q4|326/401
Ovidius University Annals of Chemistry,SCIE,1.0,,OVIDIUS UNIV ANN CHE,1583-2430,2286-038X,0.9,"CHEMISTRY, MULTIDISCIPLINARY|Q4|174/230"
Revue des Composites et des Materiaux Avances-Journal of Composite and Advanced Materials,SCIE,1.0,,REV COMPOS MATER AV,1169-7954,1958-5799,0.7,"MATERIALS SCIENCE, COMPOSITES|Q4|30/35"
Tropics,SCIE,1.0,,TROPICS,0917-415X,1882-5729,0.9,ECOLOGY|Q4|155/195
Digest Journal of Nanomaterials and Biostructures,SCIE,1.0,,DIG J NANOMATER BIOS,1842-3582,1842-3582,1.0,NANOSCIENCE & NANOTECHNOLOGY|Q4|126/140
Ekonomia i Srodowisko-Economics and Environment,SCIE,1.0,,EKON SROD,0867-8898,2300-6420,0.5,ENVIRONMENTAL STUDIES|Q4|152/182
International Journal of Renewable Energy Research,SCIE,1.0,,INT J RENEW ENERGY R,N/A,1309-0127,1.1,ENERGY & FUELS|Q4|153/170
Enterprise Modelling and Information Systems Architectures-An International Journal,SCIE,1.0,,ENTERP MODELLING INF,1866-3621,1866-3621,0.6,"ENGINEERING, INDUSTRIAL|Q4|59/69"
Heart and Mind,SCIE,1.0,,HEART MIND,2468-6476,2468-6484,N/A,PSYCHIATRY|Q4|219/276
Nanotechnologies in Construction-A Scientific Internet-Journal,SCIE,1.0,,NANOTECHNOL CONSTR,2075-8545,2075-8545,0.7,NANOSCIENCE & NANOTECHNOLOGY|Q4|126/140
ENGINEERING ECONOMIST,SCIE,1.0,,ENG ECON,0013-791X,1547-2701,1.2,OPERATIONS RESEARCH & MANAGEMENT SCIENCE|Q4|93/106
International Journal of Management Studies,SCIE,1.0,,INT J MANAG STUD,2232-1608,2180-2467,2.1,MANAGEMENT|Q4|326/401
Mechatronic Systems and Control,SCIE,1.0,,MECHATRON SYST CONTR,2561-1771,2561-178X,0.8,AUTOMATION & CONTROL SYSTEMS|Q4|72/84
Journal of Environmental Engineering and Science,SCIE,1.0,,J ENVIRON ENG SCI,1496-2551,1496-256X,0.9,"ENGINEERING, ENVIRONMENTAL|Q4|74/81"
PROGRESS IN CHEMISTRY,SCIE,1.0,,PROG CHEM,1005-281X,1005-281X,1.0,"CHEMISTRY, MULTIDISCIPLINARY|Q4|174/230"
CLASSICAL ANTIQUITY,SCIE,0.9,,CLASSICAL ANTIQUITY,0278-6656,N/A,1.1,CLASSICS|N/A|N/A
COLLEGE ENGLISH,SCIE,0.9,,COLL ENGL,0010-0994,2161-8178,0.7,LITERATURE|N/A|N/A
Economic History of Developing Regions,SCIE,0.9,,ECON HIST DEV REG,2078-0389,2078-0397,1.4,HISTORY|Q1|25/518
Studies in American Humor,SCIE,0.9,,STUD AM HUMOR,2333-9934,0095-280X,0.7,"HUMANITIES, MULTIDISCIPLINARY|N/A|N/A"
RELIGION,SCIE,0.9,,RELIGION,0048-721X,1096-1151,1.2,RELIGION|N/A|N/A
Historical Social Research-Historische Sozialforschung,SCIE,0.9,,HIST SOC RES,0172-6404,N/A,0.8,"SOCIAL SCIENCES, INTERDISCIPLINARY|Q3|132/263"
International Journal of Community Music,SCIE,0.9,,INT J COMMUNITY MUSI,1752-6299,1752-6302,1.2,MUSIC|N/A|N/A
Critical Studies in Television,SCIE,0.9,,CRIT STUD TELEV,1749-6020,1749-6039,1.1,"FILM, RADIO, TELEVISION|N/A|N/A"
MEDICAL PROBLEMS OF PERFORMING ARTISTS,SCIE,0.9,,MED PROBL PERFORM AR,0885-1158,1938-2766,1.3,MUSIC|N/A|N/A
Journal of Islamic Studies,SCIE,0.9,,J ISLAM STUD,0955-2340,1471-6917,1.3,"HUMANITIES, MULTIDISCIPLINARY|N/A|N/A"
South Asian History and Culture,SCIE,0.9,,SOUTH ASIAN HIST CUL,1947-2498,1947-2501,0.6,ASIAN STUDIES|N/A|N/A
Philosophical Explorations,SCIE,0.9,,PHILOS EXPLOR,1386-9795,1741-5918,1.0,PHILOSOPHY|N/A|N/A
Rock Art Research,SCIE,0.9,,ROCK ART RES,0813-0426,0813-0426,1.0,ART|N/A|N/A
Creative Industries Journal,SCIE,0.9,,CREATIVE IND J,1751-0694,1751-0708,N/A,"SOCIAL SCIENCES, INTERDISCIPLINARY|Q3|132/263"
Res Publica-A Journal of Moral Legal and Political Philosophy,SCIE,0.9,,RES PUBLICA-NETH,1356-4765,1572-8692,1.1,PHILOSOPHY|N/A|N/A
JOURNAL OF LEGAL STUDIES,SCIE,0.9,,J LEGAL STUD,0047-2530,1537-5366,1.6,LAW|Q2|142/421
Informal Logic,SCIE,0.9,,INFORMAL LOG,0824-2577,0824-2577,1.2,PHILOSOPHY|N/A|N/A
Review of Symbolic Logic,SCIE,0.9,,REV SYMB LOGIC,1755-0203,1755-0211,0.9,PHILOSOPHY|N/A|N/A
British Journal of Special Education,SCIE,0.9,,BRIT J SPEC EDUC,0952-3383,1467-8578,1.2,"EDUCATION, SPECIAL|Q3|46/62"
Survey Research Methods,SCIE,0.9,,SURV RES METHODS-GER,1864-3361,1864-3361,4.3,"SOCIAL SCIENCES, MATHEMATICAL METHODS|Q4|53/67"
Journal of Eastern African Studies,SCIE,0.9,,J EAST AFR STUD,1753-1055,1753-1063,1.8,AREA STUDIES|Q2|57/176
JOURNAL OF ALGEBRAIC GEOMETRY,SCIE,0.9,,J ALGEBRAIC GEOM,1056-3911,1534-7486,1.1,MATHEMATICS|Q2|145/489
Ancient Mesoamerica,SCIE,0.9,,ANCIENT MESOAM,0956-5361,1469-1787,1.0,ARCHAEOLOGY|N/A|N/A
URBAN MORPHOLOGY,SCIE,0.9,,URBAN MORPHOL,1027-4278,1027-4278,1.1,ARCHITECTURE|N/A|N/A
Islamiyyat-The International Journal of Islamic Studies,SCIE,0.9,,ISLAMIYYAT,0126-5636,0126-5636,0.8,RELIGION|N/A|N/A
Journal of the Indian Ocean Region,SCIE,0.9,,J INDIAN OCEAN REG,1948-0881,1948-108X,1.7,AREA STUDIES|Q2|57/176
Archaeological Research in Asia,SCIE,0.9,,ARCHAEOL RES ASIA,2352-2267,2352-2275,1.2,ARCHAEOLOGY|N/A|N/A
Journal of Mathematical Logic,SCIE,0.9,,J MATH LOG,0219-0613,1793-6691,1.0,MATHEMATICS|Q2|145/489
SEMIOTICA,SCIE,0.9,,SEMIOTICA,0037-1998,1613-3692,0.6,"SOCIAL SCIENCES, INTERDISCIPLINARY|Q3|132/263"
JOURNAL OF COMBINATORIAL THEORY SERIES A,SCIE,0.9,,J COMB THEORY A,0097-3165,1096-0899,1.0,MATHEMATICS|Q2|145/489
STUDIES IN PHILOSOPHY AND EDUCATION,SCIE,0.9,,STUD PHILOS EDUC,0039-3746,1573-191X,1.3,PHILOSOPHY|N/A|N/A
Gender and Language,SCIE,0.9,,GENDER LANG,1747-6321,1747-633X,1.0,WOMENS STUDIES|Q3|39/66
Teaching Exceptional Children,SCIE,0.9,,TEACH EXCEPT CHILD,0040-0599,2163-5684,1.1,"EDUCATION, SPECIAL|Q3|46/62"
Juridical Tribune-Tribuna Juridica,SCIE,0.9,,JURID TRIB,2247-7195,2248-0382,0.4,LAW|Q2|142/421
Mathematica Slovaca,SCIE,0.9,,MATH SLOVACA,0139-9918,1337-2211,0.9,MATHEMATICS|Q2|145/489
AMERICAN JOURNAL OF ARCHAEOLOGY,SCIE,0.9,,AM J ARCHAEOL,0002-9114,1939-828X,1.2,ARCHAEOLOGY|N/A|N/A
Journal of Ethics,SCIE,0.9,,J ETHICS,1382-4554,1572-8609,N/A,PHILOSOPHY|N/A|N/A
INTERNATIONAL MATHEMATICS RESEARCH NOTICES,SCIE,0.9,,INT MATH RES NOTICES,1073-7928,1687-0247,1.0,MATHEMATICS|Q2|145/489
CANADIAN JOURNAL OF AFRICAN STUDIES,SCIE,0.9,,CAN J AFR STUDIES,0008-3968,1923-3051,1.2,AREA STUDIES|Q2|57/176
Anthropological Forum,SCIE,0.9,,ANTHROPOL FORUM,0066-4677,1469-2902,1.1,ANTHROPOLOGY|Q3|71/139
Journal of International Dispute Settlement,SCIE,0.9,,J INT DISPUT SETTL,2040-3593,2040-3585,1.1,LAW|Q2|142/421
RUSSIAN LINGUISTICS,SCIE,0.9,,RUSS LINGUIST,0304-3487,1572-8714,0.6,LANGUAGE & LINGUISTICS|N/A|N/A
Anuario De Psicologia Juridica,SCIE,0.9,,ANU PSICOL JURID,1133-0740,2174-0542,1.3,"PSYCHOLOGY, MULTIDISCIPLINARY|Q3|149/218"
Languages,SCIE,0.9,,LANGUAGES-BASEL,N/A,2226-471X,N/A,LINGUISTICS|Q2|141/297
Natural Language Semantics,SCIE,0.9,,NAT LANG SEMANT,0925-854X,1572-865X,1.1,LINGUISTICS|Q2|141/297
Journal of African Cultural Studies,SCIE,0.9,,J AFR CULT STUD,1369-6815,1469-9346,0.9,CULTURAL STUDIES|Q2|27/59
Rural Special Education Quarterly,SCIE,0.9,,RURAL SPEC EDUC Q,8756-8705,2168-8605,1.7,"EDUCATION, SPECIAL|Q3|46/62"
Emu-Austral Ornithology,SCIE,0.9,,EMU,0158-4197,1448-5540,1.3,ORNITHOLOGY|Q3|15/29
Contrastive Pragmatics,SCIE,0.9,,CONTRASTIVE PRAGMAT,2666-0385,2666-0393,1.0,LINGUISTICS|Q2|141/297
English Language & Linguistics,SCIE,0.9,,ENGL LANG LINGUIST,1360-6743,1469-4379,0.9,LINGUISTICS|Q2|141/297
KANT-STUDIEN,SCIE,0.9,,KANT-STUD,0022-8877,1613-1134,0.6,PHILOSOPHY|N/A|N/A
Rendiconti del Circolo Matematico di Palermo,SCIE,0.9,,REND CIRC MAT PALERM,0009-725X,1973-4409,0.9,MATHEMATICS|Q2|145/489
Arabian Journal of Mathematics,SCIE,0.9,,ARAB J MATH,2193-5343,2193-5351,1.0,MATHEMATICS|Q2|145/489
Asian Ethnicity,SCIE,0.9,,ASIAN ETHN,1463-1369,1469-2953,1.2,ETHNIC STUDIES|Q3|24/39
Estonian Journal of Archaeology,SCIE,0.9,,EST J ARCHAEOL,1406-2933,1736-7484,0.8,ARCHAEOLOGY|N/A|N/A
MATHEMATICAL INEQUALITIES & APPLICATIONS,SCIE,0.9,,MATH INEQUAL APPL,1331-4343,1331-4343,0.8,MATHEMATICS|Q2|145/489
Afrika Matematika,SCIE,0.9,,AFR MAT,1012-9405,2190-7668,0.8,MATHEMATICS|Q2|145/489
Algebra & Number Theory,SCIE,0.9,,ALGEBR NUMBER THEORY,1937-0652,1944-7833,1.1,MATHEMATICS|Q2|145/489
Australian Journal of Learning Difficulties,SCIE,0.9,,AUST J LEARN DIFFIC,1940-4158,1940-4166,2.5,"EDUCATION, SPECIAL|Q3|46/62"
Body & Society,SCIE,0.9,,BODY SOC,1357-034X,1460-3632,2.6,SOCIOLOGY|Q3|146/217
Journal of Inverse and Ill-Posed Problems,SCIE,0.9,,J INVERSE ILL-POSE P,0928-0219,1569-3945,1.1,"MATHEMATICS, APPLIED|Q3|200/331"
LINEAR & MULTILINEAR ALGEBRA,SCIE,0.9,,LINEAR MULTILINEAR A,0308-1087,1563-5139,1.0,MATHEMATICS|Q2|145/489
Analysis and Geometry in Metric Spaces,SCIE,0.9,,ANAL GEOM METR SPACE,2299-3274,2299-3274,1.0,MATHEMATICS|Q2|145/489
VIAL-Vigo International Journal of Applied Linguistics,SCIE,0.9,,VIAL-VIGO INT J APPL,1697-0381,N/A,0.9,LINGUISTICS|Q2|141/297
American Journal of Cultural Sociology,SCIE,0.9,,AM J CULT SOCIOL,2049-7113,2049-7121,1.7,SOCIOLOGY|Q3|146/217
INTERNATIONAL JOURNAL FOR THE SEMIOTICS OF LAW-REVUE INTERNATIONALE DE SEMIOTIQUE JURIDIQUE,SCIE,0.9,,INT J SEMIOTIC LAW,0952-8059,1572-8722,0.7,"SOCIAL SCIENCES, INTERDISCIPLINARY|Q3|132/263"
FEMINIST REVIEW,SCIE,0.9,,FEMINIST REV,0141-7789,1466-4380,2.4,WOMENS STUDIES|Q3|39/66
Fixed Point Theory,SCIE,0.9,,FIXED POINT THEOR-RO,1583-5022,2066-9208,1.1,"MATHEMATICS, APPLIED|Q3|200/331"
Annales Fennici Mathematici,SCIE,0.9,,ANN FENN MATH,2737-0690,2737-114X,0.9,MATHEMATICS|Q2|145/489
JOURNAL OF APPROXIMATION THEORY,SCIE,0.9,,J APPROX THEORY,0021-9045,1096-0430,0.9,MATHEMATICS|Q2|145/489
JOURNAL OF GRAPH THEORY,SCIE,0.9,,J GRAPH THEOR,0364-9024,1097-0118,0.9,MATHEMATICS|Q2|145/489
Journal of Human Rights Practice,SCIE,0.9,,J HUM RIGHTS PRACT,1757-9619,1757-9627,1.1,POLITICAL SCIENCE|Q3|196/317
Australian Review of Applied Linguistics,SCIE,0.9,,AUST REV APPL LINGUI,0155-0640,1833-7139,0.7,LINGUISTICS|Q2|141/297
Climate Law,SCIE,0.9,,CLIM LAW,1878-6553,1878-6561,N/A,LAW|Q2|142/421
Journal of Pseudo-Differential Operators and Applications,SCIE,0.9,,J PSEUDO-DIFFER OPER,1662-9981,1662-999X,0.9,"MATHEMATICS, APPLIED|Q3|200/331"
Moral Philosophy and Politics,SCIE,0.9,,MORAL PHILOS POLIT,2194-5616,2194-5624,N/A,POLITICAL SCIENCE|Q3|196/317
Interaction Studies,SCIE,0.9,,INTERACT STUD,1572-0373,1572-0381,1.5,LINGUISTICS|Q2|141/297
JOURNAL OF ENGLISH LINGUISTICS,SCIE,0.9,,J ENGL LINGUIST,0075-4242,1552-5457,1.1,LINGUISTICS|Q2|141/297
NARRATIVE INQUIRY,SCIE,0.9,,NARRAT INQ,1387-6740,1569-9935,0.9,LINGUISTICS|Q2|141/297
Open Archaeology,SCIE,0.9,,OPEN ARCHAEOL,2300-6560,2300-6560,1.0,ARCHAEOLOGY|N/A|N/A
Cultural Studies-Critical Methodologies,SCIE,0.9,,CULT STUD-CRIT METHO,1532-7086,1552-356X,1.0,CULTURAL STUDIES|Q2|27/59
International Forum of Psychoanalysis,SCIE,0.9,,INT FORUM PSYCHOANAL,0803-706X,1651-2324,0.4,"PSYCHOLOGY, PSYCHOANALYSIS|Q2|6/21"
BOLETIN DE LA SOCIEDAD MATEMATICA MEXICANA,SCIE,0.9,,BOL SOC MAT MEX,1405-213X,2296-4495,0.9,MATHEMATICS|Q2|145/489
INTERNATIONAL REVIEW OF LAW AND ECONOMICS,SCIE,0.9,,INT REV LAW ECON,0144-8188,1873-6394,1.0,LAW|Q2|142/421
Journal of Elliptic and Parabolic Equations,SCIE,0.9,,J ELLIPTIC PARABOL,2296-9020,2296-9039,0.8,MATHEMATICS|Q2|145/489
Miskolc Mathematical Notes,SCIE,0.9,,MISKOLC MATH NOTES,1787-2405,1787-2413,0.9,MATHEMATICS|Q2|145/489
Capital Markets Law Journal,SCIE,0.9,,CAP MARK LAW J,1750-7219,1750-7227,0.7,LAW|Q2|142/421
Child Abuse Review,SCIE,0.9,,CHILD ABUSE REV,0952-9136,1099-0852,1.5,SOCIAL WORK|Q3|67/91
Documenta Mathematica,SCIE,0.9,,DOC MATH,1431-0643,1431-0643,0.8,MATHEMATICS|Q2|145/489
Glossa-A Journal of General Linguistics,SCIE,0.9,,GLOSSA-UK,N/A,2397-1835,1.1,LINGUISTICS|Q2|141/297
COMMUNICATION EDUCATION,SCIE,0.9,,COMMUN EDUC,0363-4523,1479-5795,2.2,EDUCATION & EDUCATIONAL RESEARCH|Q3|457/756
Australian Journal of Indigenous Education,SCIE,0.9,,AUST J INDIG EDUC,1326-0111,2049-7784,1.1,EDUCATION & EDUCATIONAL RESEARCH|Q3|457/756
BULLETIN OF THE BRAZILIAN MATHEMATICAL SOCIETY,SCIE,0.9,,B BRAZ MATH SOC,1678-7544,1678-7714,0.9,MATHEMATICS|Q2|145/489
Developing World Bioethics,SCIE,0.9,,DEV WORLD BIOETH,1471-8731,1471-8847,1.6,MEDICAL ETHICS|Q3|17/23
Foundations of Science,SCIE,0.9,,FOUND SCI,1233-1821,1572-8471,0.8,HISTORY & PHILOSOPHY OF SCIENCE|Q2|32/104
Epijournal de Geometrie Algebrique,SCIE,0.9,,EPIJOURNAL GEOM ALGE,2491-6765,2491-6765,0.9,MATHEMATICS|Q2|145/489
AUSTRALIAN MAMMALOGY,SCIE,0.9,,AUST MAMMAL,0310-0049,1836-7402,1.0,ZOOLOGY|Q3|111/180
EC Tax Review,SCIE,0.9,,EC TAX REV,0928-2750,1875-8363,0.7,LAW|Q2|142/421
Historical Materialism-Research in Critical Marxist Theory,SCIE,0.9,,HIST MATER,1465-4466,1569-206X,1.0,POLITICAL SCIENCE|Q3|196/317
Journal fur Mathematik-Didaktik,SCIE,0.9,,J MATH-DIDAKT,0173-5322,1869-2699,1.1,EDUCATION & EDUCATIONAL RESEARCH|Q3|457/756
JOURNAL OF MATERIAL CULTURE,SCIE,0.9,,J MAT CULT,1359-1835,1460-3586,1.2,CULTURAL STUDIES|Q2|27/59
Journal of Transplantation,SCIE,0.9,,J TRANSPLANT,2090-0007,2090-0015,2.0,SURGERY|Q3|214/290
AUSTRALIAN FORESTRY,SCIE,0.9,,AUST FORESTRY,0004-9158,2325-6087,2.4,FORESTRY|Q3|59/89
ESP Today-Journal of English for Specific Purposes at Tertiary Level,SCIE,0.9,,ESP TODAY,2334-9050,2334-9050,1.1,LINGUISTICS|Q2|141/297
Hague Journal of Diplomacy,SCIE,0.9,,HAGUE J DIPL,1871-1901,1871-191X,1.6,INTERNATIONAL RELATIONS|Q3|94/165
Porta Linguarum,SCIE,0.9,,PORTA LINGUARUM,1697-7467,N/A,1.0,LINGUISTICS|Q2|141/297
Criminal Law Forum,SCIE,0.9,,CRIM LAW FORUM,1046-8374,1572-9850,0.9,LAW|Q2|142/421
INTERNATIONAL REVIEW OF HYDROBIOLOGY,SCIE,0.9,,INT REV HYDROBIOL,1434-2944,1522-2632,1.7,MARINE & FRESHWATER BIOLOGY|Q3|88/119
Names-A Journal of Onomastics,SCIE,0.9,,NAMES,0027-7738,1756-2279,0.7,LINGUISTICS|Q2|141/297
Qualitative Research in Education,SCIE,0.9,,QUAL RES EDUC,2014-6418,2014-6418,1.2,EDUCATION & EDUCATIONAL RESEARCH|Q3|457/756
SIAM JOURNAL ON DISCRETE MATHEMATICS,SCIE,0.9,,SIAM J DISCRETE MATH,0895-4801,1095-7146,0.9,"MATHEMATICS, APPLIED|Q3|200/331"
Aequationes Mathematicae,SCIE,0.9,,AEQUATIONES MATH,0001-9054,1420-8903,0.9,"MATHEMATICS, APPLIED|Q3|200/331"
Iberica,SCIE,0.9,,IBERICA,1139-7241,2340-2784,1.4,LINGUISTICS|Q2|141/297
International Journal of Mobile and Blended Learning,SCIE,0.9,,INT J MOB BLENDED LE,1941-8647,1941-8655,0.9,EDUCATION & EDUCATIONAL RESEARCH|Q3|457/756
JOURNAL OF FORAMINIFERAL RESEARCH,SCIE,0.9,,J FORAMIN RES,0096-1191,N/A,1.4,PALEONTOLOGY|Q4|45/56
Symmetry Integrability and Geometry-Methods and Applications,SCIE,0.9,,SYMMETRY INTEGR GEOM,1815-0659,N/A,0.9,"PHYSICS, MATHEMATICAL|Q4|46/60"
International Journal of Law Policy and the Family,SCIE,0.9,,INT J LAW POLICY FAM,1360-9939,1464-3707,1.0,LAW|Q2|142/421
ZOOLOGICAL SCIENCE,SCIE,0.9,,ZOOL SCI,0289-0003,0289-0003,0.8,ZOOLOGY|Q3|111/180
EJournal of Tax Research,SCIE,0.9,,EJOURNAL TAX RES,1448-2398,1448-2398,0.6,LAW|Q2|142/421
QUARTERLY OF APPLIED MATHEMATICS,SCIE,0.9,,Q APPL MATH,0033-569X,1552-4485,1.0,"MATHEMATICS, APPLIED|Q3|200/331"
ADVANCES IN APPLIED PROBABILITY,SCIE,0.9,,ADV APPL PROBAB,0001-8678,1475-6064,1.1,STATISTICS & PROBABILITY|Q3|102/168
Hong Kong Physiotherapy Journal,SCIE,0.9,,HONG KONG PHYSIOTHER,1013-7025,1876-441X,1.4,REHABILITATION|Q4|134/169
MEDICAL HISTORY,SCIE,0.9,,MED HIST,0025-7273,2048-8343,1.2,HISTORY & PHILOSOPHY OF SCIENCE|Q2|32/104
Open Praxis,SCIE,0.9,,OPEN PRAX,2304-070X,2304-070X,2.0,EDUCATION & EDUCATIONAL RESEARCH|Q3|457/756
Journal of Student Affairs Research and Practice,SCIE,0.9,,J STUD AFF RES PRACT,1949-6591,1949-6605,1.4,EDUCATION & EDUCATIONAL RESEARCH|Q3|457/756
